action,service,operation_type,risk_level,risk_weight,reason
ec2:GetTransitGatewayMeteringPolicyEntries,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:SendPipelineExecutionStepSuccess,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:UpdateMaintenanceWindowTarget,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:CancelServiceSoftwareUpdate,OpenSearch,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:ImportInstance,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:PurchaseReservedInstanceOffering,OpenSearch,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigateway:CreateDocumentationVersion,API Gateway,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeMacModificationTasks,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetRouteResponse,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UpdateDelegationRequest,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:CreateTrafficPolicyVersion,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
kinesis:PutRecord,Kinesis,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:StartExecutionPreview,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:CreateReusableDelegationSet,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeFastSnapshotRestores,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:GetIntegration,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateComputeQuota,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateCoipPool,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:BatchDeleteImage,ECR,OTHER,MEDIUM,5,Project-defined review required for this operation.
lambda:GetRuntimeManagementConfig,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTransitGatewayPolicyTables,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
bedrock:GetFoundationModel,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:RestoreDBClusterToPointInTime,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVpcEndpointAssociations,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:VerifyMac,KMS,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
guardduty:GetFilter,GuardDuty,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListWorkteams,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:GetDeployments,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CreateRouteServerPeer,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:GetAccessToken,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:DeregisterCluster,EKS,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DeleteRouteServerEndpoint,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListProcessingJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:CreateApi,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:StartServiceSoftwareUpdate,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:EnableOrganizationAdminAccount,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
dynamodb:UpdateContinuousBackups,DynamoDB,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:PassRole,iam,PERMISSION_CHANGE,CRITICAL,10,Sensitive privilege-related action that allows a principal to pass an IAM role to an AWS service; can enable privilege escalation when combined with other permissions.
eks:DeleteCluster,EKS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:DeleteUserPoolClientSecret,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
ec2:ListVolumesInRecycleBin,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:StopKeyPhrasesDetectionJob,Comprehend,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cloudwatch:GetMetricData,CloudWatch,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListStageDevices,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:UpdateTableReplicaAutoScaling,DynamoDB,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetActiveVpnTunnelStatus,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:GetDelivery,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
secretsmanager:ValidateResourcePolicy,Secrets Manager,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
cognito-idp:AdminUpdateDeviceStatus,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
cloudtrail:ListDashboards,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeInstancePatches,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:DescribePackages,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetUsagePlan,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:CreateRepositoryCreationTemplate,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DescribeScalingProcessTypes,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:UpdateBucketMetadataInventoryTableConfiguration,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DisassociateVpcCidrBlock,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cloudformation:SignalResource,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
eks:AssociateEncryptionConfig,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeSubscribedWorkteam,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:CreateManagedLoginBranding,Cognito Identity,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:AddTags,CloudTrail,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteTags,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
logs:CreateLookupTable,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:ListCustomEntityTypes,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:GetBucketNotificationConfiguration,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:DescribeLifecycleHooks,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:DescribeEvents,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:UnassignPrivateIpAddresses,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
s3:DeleteObjects,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:GetVerifiedAccessEndpointPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:GetUsagePlans,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTransitGateways,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteCodeRepository,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
athena:ListWorkGroups,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetColumnStatisticsForPartition,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:GetItem,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:UntagInstanceProfile,IAM,TAGGING,LOW,3,Changes resource tags or metadata.
guardduty:DisassociateMembers,GuardDuty,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ecs:PutAttributes,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:DescribeTrainingJob,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:ListSourcesForS3TableIntegration,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
bedrock:GetResourcePolicy,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
iam:GetRolePolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sagemaker:DescribePartnerApp,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
kms:EnableKeyRotation,KMS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecr:DescribeRegistry,ECR,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:GetCommandInvocation,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:StopWorkflowRun,Glue,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
cloudformation:RecordHandlerProgress,CloudFormation,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DeleteRouteServerPeer,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateHubContentPresignedUrls,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
secretsmanager:RotateSecret,Secrets Manager,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:Search,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:PutResourcePolicy,Glue,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:CreateSession,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DetachVolume,EC2,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
glue:DeleteResourcePolicy,Glue,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
autoscaling:DescribeMetricCollectionTypes,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListNotebookInstances,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:StartAccessRequest,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteClientVpnRoute,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:RemoveFromGlobalCluster,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:CreateCustomDBEngineVersion,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sts:DecodeAuthorizationMessage,STS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
sns:GetDataProtectionPolicy,SNS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ecr:UpdatePullThroughCacheRule,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVpnConnections,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
events:DescribeEndpoint,EventBridge,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetCrawler,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeFpgaImages,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sts:GetDelegatedAccessToken,STS,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:ListProductRestEndpointPages,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecr:UpdateRepositoryCreationTemplate,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:ResetJobBookmark,Glue,OTHER,MEDIUM,5,Project-defined review required for this operation.
athena:GetQueryExecution,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:CopyImage,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateEndpoint,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:ListIntegrationResourceProperties,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListEndpoints,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:UpdateApi,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:DeleteWorkflow,Glue,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:DeleteDocumentationVersion,API Gateway,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeClientVpnConnections,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
autoscaling:DeleteLifecycleHook,Auto Scaling,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:DeleteBucketInventoryConfiguration,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DeleteIpamResourceDiscovery,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
redshift:DeleteEndpointAccess,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListUltraServersByReservedCapacity,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeVerifiedAccessEndpoints,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:AbortMultipartUpload,S3,OTHER,MEDIUM,5,Project-defined review required for this operation.
logs:ListTagsForResource,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:PutAccountPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
glue:StartWorkflowRun,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
eks:CreateEksAnywhereSubscription,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:CreatePresignedMlflowAppUrl,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:DeleteDetector,GuardDuty,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:GetStatement,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:GetInventorySchema,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:CreateEndpoint,Comprehend,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:DeleteReusableDelegationSet,Route 53,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
lambda:PutFunctionRecursionConfig,Lambda,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DescribeAdjustmentTypes,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DescribeUserPoolDomain,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DescribeMaintenanceWindowExecutions,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:ListSMSSandboxPhoneNumbers,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:RespondToAuthChallenge,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
route53:ChangeCidrCollection,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListComplianceItems,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeAddressTransfers,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:GetClusterCredentialsWithIAM,Redshift,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:DescribeTaskSets,ECS,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DeleteDBInstanceAutomatedBackup,RDS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
apigateway:DeleteAuthorizer,API Gateway,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
dynamodb:TransactWriteItems,DynamoDB,OTHER,MEDIUM,5,Project-defined review required for this operation.
sagemaker:CreateImage,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeChangeSetHooks,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:CreateDataQualityJobDefinition,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:PurchaseReservedInstancesOffering,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
iam:DeleteGroupPolicy,IAM,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
rds:ModifyDBInstance,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
s3:ListBuckets,S3,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:DeleteBucketPolicy,S3,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DescribeLocalGatewayVirtualInterfaces,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:DeleteIndexPolicy,CloudWatch Logs,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
athena:DeletePreparedStatement,Athena,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListApps,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:UntagResource,GuardDuty,TAGGING,LOW,3,Changes resource tags or metadata.
redshift:DeleteEventSubscription,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:DescribeTrafficMirrorFilterRules,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:PutComplianceItems,Systems Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:PutLogEvents,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:DescribeStackEvents,CloudFormation,READ,LOW,2,Primarily reads or inspects AWS state/data.
ecs:UpdateCluster,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:GetLoginProfile,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
eks:DescribeFargateProfile,EKS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteTransitGatewayPeeringAttachment,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cognito-idp:DeleteManagedLoginBranding,Cognito Identity,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
rds:ModifyIntegration,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:GetDeliverySource,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeTransitGatewayConnectPeers,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ssm:DeleteResourceDataSync,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudtrail:ListPublicKeys,CloudTrail,READ,LOW,2,Primarily reads or inspects AWS state/data.
secretsmanager:CreateSecret,Secrets Manager,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
redshift:CreateSnapshotCopyGrant,Redshift,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
guardduty:TagResource,GuardDuty,TAGGING,LOW,3,Changes resource tags or metadata.
redshift:RestoreFromClusterSnapshot,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
kinesis:UpdateMaxRecordSize,Kinesis,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:UpdateAction,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetMLTransforms,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:DeleteOutboundConnection,OpenSearch,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
cloudformation:UpdateGeneratedTemplate,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:CancelCapacityReservation,Athena,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
logs:CreateLogStream,CloudWatch Logs,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:CreateFoundationModelAgreement,Bedrock,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:CreateNetworkInsightsAccessScope,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:ModifyDBProxyEndpoint,RDS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:DeleteTrafficPolicy,Route 53,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:DeleteFleets,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
iam:UpdateServiceSpecificCredential,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:DeleteSAMLProvider,IAM,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ecr:PutImage,ECR,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:GetFoundationModelAvailability,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:AssociateEnclaveCertificateIamRole,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudformation:RegisterType,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:GetMLTransform,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:UpdateShardCount,Kinesis,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteNetworkAcl,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListTrials,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateFeatureMetadata,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sagemaker:CreateArtifact,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:GetModelInvocationLoggingConfiguration,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
sts:AssumeRole,STS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
rds:DescribeGlobalClusters,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:BatchGetDataQualityResult,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
route53:ListTagsForResource,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
comprehend:StartEventsDetectionJob,Comprehend,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListAssociationVersions,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DescribeSpace,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:ListCrawls,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:ListInstanceProfileTags,IAM,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DeleteIpamPolicy,EC2,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
ec2:ModifyInstanceCpuOptions,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:DeleteActivation,Systems Manager,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
s3:DeletePublicAccessBlock,S3,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
comprehend:DetectToxicContent,Comprehend,OTHER,MEDIUM,5,Project-defined review required for this operation.
eks:DeletePodIdentityAssociation,EKS,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:CreateFeatureGroup,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
athena:ListQueryExecutions,Athena,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeNetworkInterfaceAttribute,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeIntegrations,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cloudformation:SetTypeDefaultVersion,CloudFormation,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:GetEbsDefaultKmsKeyId,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:ListAppImageConfigs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
opensearch:DescribeDomainNodes,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
rds:DescribeDBParameterGroups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableAwsNetworkPerformanceMetricSubscription,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ecs:CreateCluster,ECS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeDeclarativePoliciesReports,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
lambda:ListLayers,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeSubnets,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
guardduty:DeleteMalwareProtectionPlan,GuardDuty,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:StopTransformJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
apigatewayv2:GetProductPage,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:EnableEbsEncryptionByDefault,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
glue:BatchGetTableOptimizer,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:GetInstanceUefiData,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:ListTagsForResource,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:DescribeEgressOnlyInternetGateways,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:DeleteModelPackageGroup,SageMaker,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:EnableVolumeIO,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
guardduty:InviteMembers,GuardDuty,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:CreateRoute,API Gateway V2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DeleteLaunchTemplateVersions,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:StartDataQualityRuleRecommendationRun,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:DescribeVolumeAttribute,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DeleteUserPoolDomain,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
cognito-idp:ForgotPassword,Cognito Identity,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:GetRouteResponses,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sns:ListPlatformApplications,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
logs:GetDeliveryDestination,CloudWatch Logs,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:ResumeWorkflowRun,Glue,OTHER,MEDIUM,5,Project-defined review required for this operation.
apigatewayv2:GetRoutingRule,API Gateway V2,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:UpdateJobFromSourceControl,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
autoscaling:DescribeAccountLimits,Auto Scaling,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:CreateCluster,Redshift,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
logs:StopQuery,CloudWatch Logs,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
sns:GetEndpointAttributes,SNS,READ,LOW,2,Primarily reads or inspects AWS state/data.
dynamodb:ListGlobalTables,DynamoDB,READ,LOW,2,Primarily reads or inspects AWS state/data.
